                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                  1.696,                 1.5329,                  0.973,                 0.0041,                0.02113,                0.00095,                0.00019,                 4.3763,                 7.4842,                 2.3338,             0.00065957,             0.00065957,             0.00065957
                      2,                 1.6051,                0.83073,                0.95445,                 0.0041,                0.02113,                0.00095,                0.00019,                      0,                 1478.6,                      0,              0.0013131,              0.0013131,              0.0013131
                      3,                 1.5639,                0.80773,                0.96466,                0.48437,                0.97887,                0.49168,                0.25996,                 1.5072,                 3.9714,                0.94443,              0.0019534,              0.0019534,              0.0019534
                      4,                 1.5021,                0.75727,                0.93408,                0.96374,                0.96479,                0.95794,                0.51255,                 1.4429,                0.80033,                0.92365,              0.0019406,              0.0019406,              0.0019406
                      5,                 1.4608,                0.70979,                 0.9269,                0.90337,                 0.8559,                0.87843,                0.38454,                 1.8669,                0.89965,                 1.0001,              0.0019406,              0.0019406,              0.0019406
                      6,                 1.4447,                0.72337,                 0.9284,                0.97836,                0.98592,                0.97892,                0.50779,                 1.5826,                0.75524,                0.92183,              0.0019208,              0.0019208,              0.0019208
                      7,                 1.3874,                0.68209,                0.90862,                 0.9917,                      1,                0.99479,                0.53979,                 1.4101,                0.69039,                0.89104,               0.001901,               0.001901,               0.001901
                      8,                 1.3674,                0.64926,                0.91227,                0.97019,                0.97887,                0.97053,                0.50553,                 1.4605,                0.73129,                 0.8888,              0.0018812,              0.0018812,              0.0018812
                      9,                 1.3551,                0.63241,                0.90254,                0.98527,                0.99296,                0.98605,                0.53286,                 1.5341,                0.69811,                0.90057,              0.0018614,              0.0018614,              0.0018614
                     10,                 1.3302,                0.63347,                0.90143,                0.97021,                0.97887,                0.98413,                  0.584,                 1.3302,                 0.6911,                0.87772,              0.0018416,              0.0018416,              0.0018416
                     11,                 1.3379,                0.64645,                 0.9101,                0.99129,                      1,                0.99472,                0.62303,                 1.2487,                0.61247,                0.86477,              0.0018218,              0.0018218,              0.0018218
                     12,                 1.2945,                0.62057,                0.89804,                0.96972,                0.97887,                0.96155,                 0.5169,                 1.5059,                0.70451,                0.89211,               0.001802,               0.001802,               0.001802
                     13,                  1.273,                0.59997,                0.88243,                  0.993,                0.99929,                 0.9915,                0.62892,                 1.2504,                  0.621,                0.86771,              0.0017822,              0.0017822,              0.0017822
                     14,                 1.2959,                0.62438,                0.89958,                0.97106,                0.97887,                0.96979,                0.52344,                 1.4174,                 0.7207,                0.88494,              0.0017624,              0.0017624,              0.0017624
                     15,                 1.2554,                0.59954,                 0.8861,                0.99199,                      1,                0.99444,                0.62755,                 1.2773,                0.60604,                0.87382,              0.0017426,              0.0017426,              0.0017426
                     16,                 1.2633,                0.58993,                0.89085,                0.99222,                      1,                 0.9922,                0.62116,                 1.3073,                0.61121,                0.87169,              0.0017228,              0.0017228,              0.0017228
                     17,                 1.2314,                0.59321,                0.88802,                  0.985,                0.98592,                0.98997,                0.52797,                  1.511,                0.68047,                0.89205,               0.001703,               0.001703,               0.001703
                     18,                 1.2265,                0.57609,                 0.8836,                  0.992,                      1,                0.99472,                0.69163,                 1.1519,                0.57974,                0.85193,              0.0016832,              0.0016832,              0.0016832
                     19,                 1.2024,                0.55303,                0.88033,                0.99186,                      1,                0.99472,                0.66223,                 1.2136,                0.60148,                0.84796,              0.0016634,              0.0016634,              0.0016634
                     20,                 1.1843,                0.56228,                0.87663,                0.99121,                      1,                0.99486,                0.66713,                 1.1841,                0.57704,                0.84728,              0.0016436,              0.0016436,              0.0016436
                     21,                 1.2127,                0.56222,                0.88109,                0.99224,                      1,                0.99486,                0.68024,                  1.174,                0.56295,                0.84877,              0.0016238,              0.0016238,              0.0016238
                     22,                 1.1952,                0.56096,                 0.8836,                0.99161,                      1,                0.99451,                0.68304,                   1.12,                0.54268,                0.84091,               0.001604,               0.001604,               0.001604
                     23,                 1.1762,                0.53865,                0.87397,                0.99208,                      1,                0.99465,                0.66214,                 1.1915,                0.55591,                0.84877,              0.0015842,              0.0015842,              0.0015842
                     24,                  1.148,                0.53506,                0.87151,                0.99232,                      1,                0.99367,                0.70105,                 1.0914,                0.53397,                0.84238,              0.0015644,              0.0015644,              0.0015644
                     25,                 1.1488,                0.54328,                0.86879,                 0.9917,                      1,                 0.9943,                0.64465,                   1.15,                0.56064,                0.85006,              0.0015446,              0.0015446,              0.0015446
                     26,                 1.1858,                0.56049,                0.86692,                0.99229,                      1,                0.99353,                0.62699,                 1.2053,                0.56074,                0.85243,              0.0015248,              0.0015248,              0.0015248
                     27,                 1.1265,                0.53995,                0.87128,                 0.9927,                      1,                0.99388,                0.69385,                 1.1446,                0.52715,                0.84324,               0.001505,               0.001505,               0.001505
                     28,                 1.1097,                0.52829,                0.86203,                0.99239,                      1,                0.99472,                 0.6155,                 1.2983,                0.56812,                0.86002,              0.0014852,              0.0014852,              0.0014852
                     29,                 1.1157,                 0.5182,                0.86639,                0.99236,                      1,                0.99472,                0.66781,                 1.1849,                0.56618,                0.84968,              0.0014654,              0.0014654,              0.0014654
                     30,                 1.0899,                0.51045,                0.86159,                0.99236,                      1,                0.99402,                0.68189,                 1.1152,                0.53384,                0.84659,              0.0014456,              0.0014456,              0.0014456
                     31,                  1.124,                 0.5177,                0.86506,                0.99246,                      1,                0.99178,                0.65482,                  1.231,                0.54002,                0.85762,              0.0014258,              0.0014258,              0.0014258
                     32,                 1.0905,                0.50797,                0.86683,                 0.9925,                      1,                0.99493,                0.71862,                 1.0831,                0.49769,                0.83704,               0.001406,               0.001406,               0.001406
                     33,                 1.0922,                0.50337,                0.85928,                0.98782,                      1,                0.99472,                0.60892,                 1.4219,                0.60065,                0.88493,              0.0013862,              0.0013862,              0.0013862
                     34,                 1.0735,                0.50359,                0.85583,                0.99248,                      1,                 0.9936,                0.68799,                 1.1139,                0.51448,                0.83821,              0.0013664,              0.0013664,              0.0013664
                     35,                  1.041,                0.48856,                0.84985,                0.99247,                      1,                0.99479,                0.72688,                 1.0848,                0.48286,                0.83928,              0.0013466,              0.0013466,              0.0013466
                     36,                 1.0519,                0.50277,                0.84588,                0.99251,                      1,                0.99395,                0.68932,                  1.126,                0.50407,                0.83975,              0.0013268,              0.0013268,              0.0013268
