                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                   1.78,                 1.7881,                 1.1506,                0.98064,                0.89664,                0.96744,                0.62905,                  1.251,                  1.293,                 1.0037,              0.0032895,              0.0032895,              0.0032895
                      2,                 1.4376,                0.79899,                 1.0116,                0.97079,                0.93805,                0.96014,                0.63615,                 1.2359,                0.73929,                 1.0094,              0.0066163,              0.0066163,              0.0066163
                      3,                 1.4974,                0.87744,                 1.0478,                0.93874,                 0.9115,                0.91363,                0.36705,                 2.0081,                 1.1873,                 1.3702,              0.0099364,              0.0099364,              0.0099364
                      4,                  1.522,                0.78397,                 1.0585,                0.96844,                0.95575,                0.95437,                0.58136,                 1.2936,                0.65704,                 1.0395,              0.0099703,              0.0099703,              0.0099703
                      5,                 1.4962,                0.75015,                 1.0287,                0.96402,                 0.9646,                0.95572,                  0.603,                 1.3144,                0.71021,                 1.0513,              0.0099703,              0.0099703,              0.0099703
                      6,                 1.4857,                0.72978,                 1.0409,                 0.9732,                 0.9641,                0.95269,                0.58723,                 1.3445,                 0.7016,                 1.0393,              0.0099604,              0.0099604,              0.0099604
                      7,                 1.4359,                0.72752,                 1.0263,                0.95494,                0.93771,                0.94549,                0.50233,                 1.5282,                0.75561,                 1.1365,              0.0099505,              0.0099505,              0.0099505
                      8,                 1.4092,                0.67716,                 1.0258,                0.93987,                0.96823,                 0.9742,                 0.6196,                 1.3388,                0.66037,                 1.0473,              0.0099406,              0.0099406,              0.0099406
                      9,                 1.4089,                0.67819,                 1.0154,                0.97248,                 0.9646,                0.96699,                0.61431,                  1.269,                0.59908,                 1.0331,              0.0099307,              0.0099307,              0.0099307
                     10,                  1.398,                0.66016,                 1.0125,                0.97153,                 0.9646,                0.97089,                0.63683,                 1.2939,                0.60967,                 1.0151,              0.0099208,              0.0099208,              0.0099208
                     11,                 1.3858,                0.65128,                0.99749,                0.97229,                 0.9646,                0.95457,                0.57186,                 1.3853,                0.63181,                 1.0556,              0.0099109,              0.0099109,              0.0099109
                     12,                 1.3314,                0.63335,                0.99805,                0.93555,                0.95575,                0.93951,                0.60033,                 1.2682,                0.62734,                 1.0352,               0.009901,               0.009901,               0.009901
                     13,                 1.3251,                0.63152,                0.99181,                0.96213,                0.95575,                0.95715,                0.60309,                 1.3117,                 0.6417,                 1.0673,              0.0098911,              0.0098911,              0.0098911
                     14,                 1.3186,                0.61519,                0.99757,                0.98092,                 0.9469,                0.96557,                0.63456,                 1.2581,                0.59395,                 1.0313,              0.0098812,              0.0098812,              0.0098812
                     15,                 1.3259,                0.61622,                0.99343,                0.97215,                 0.9646,                0.95824,                0.65095,                 1.2143,                0.59221,                 1.0067,              0.0098713,              0.0098713,              0.0098713
                     16,                 1.3133,                 0.6072,                0.99287,                0.96315,                0.95575,                0.94594,                 0.5793,                 1.3379,                0.60217,                 1.0344,              0.0098614,              0.0098614,              0.0098614
                     17,                 1.2963,                0.59765,                0.99279,                0.97342,                0.97241,                0.96608,                0.65449,                 1.1953,                0.57104,                 1.0145,              0.0098515,              0.0098515,              0.0098515
                     18,                 1.3052,                0.59663,                0.97793,                 0.9637,                0.95575,                0.94794,                0.63451,                  1.259,                0.58397,                 1.0229,              0.0098416,              0.0098416,              0.0098416
                     19,                 1.2943,                0.59893,                0.98426,                  0.972,                 0.9646,                0.97106,                0.66958,                 1.2063,                0.58461,                 1.0038,              0.0098317,              0.0098317,              0.0098317
                     20,                 1.2928,                0.59658,                0.99145,                0.97132,                0.95575,                0.95911,                0.66891,                 1.1711,                0.57831,                 0.9836,              0.0098218,              0.0098218,              0.0098218
                     21,                 1.2624,                0.59461,                0.97714,                 0.9818,                0.95456,                 0.9691,                0.64408,                  1.193,                0.58138,                0.99187,              0.0098119,              0.0098119,              0.0098119
                     22,                 1.2909,                0.58358,                0.98529,                0.97177,                 0.9646,                0.96654,                0.67707,                 1.1181,                0.53992,                 0.9689,               0.009802,               0.009802,               0.009802
                     23,                 1.2577,                0.57917,                0.96796,                0.96274,                 0.9646,                0.97148,                0.63244,                 1.3215,                0.59347,                 1.0622,              0.0097921,              0.0097921,              0.0097921
                     24,                 1.2496,                 0.5722,                0.97365,                0.97251,                 0.9646,                0.96777,                0.70313,                 1.0651,                0.51184,                0.95841,              0.0097822,              0.0097822,              0.0097822
                     25,                 1.2473,                0.57571,                0.96935,                0.97305,                0.97345,                0.97413,                 0.6727,                 1.1773,                0.52541,                0.98649,              0.0097723,              0.0097723,              0.0097723
                     26,                 1.2422,                0.56702,                0.96607,                0.97244,                 0.9646,                0.96528,                0.69636,                 1.0929,                0.51788,                0.96382,              0.0097624,              0.0097624,              0.0097624
                     27,                 1.2542,                0.56418,                0.96771,                0.97343,                0.97253,                0.96978,                0.68805,                 1.1675,                0.53706,                 0.9892,              0.0097525,              0.0097525,              0.0097525
                     28,                 1.2092,                0.55287,                0.94713,                 0.9724,                 0.9646,                 0.9619,                0.67714,                 1.1402,                0.54304,                0.97965,              0.0097426,              0.0097426,              0.0097426
                     29,                  1.199,                 0.5469,                0.95453,                0.96861,                0.81911,                0.88585,                0.59513,                 1.2873,                0.95005,                 1.0499,              0.0097327,              0.0097327,              0.0097327
                     30,                 1.1958,                0.54091,                 0.9576,                 0.9726,                 0.9646,                0.95862,                0.67541,                 1.1644,                0.52408,                0.98938,              0.0097228,              0.0097228,              0.0097228
                     31,                 1.2228,                0.55962,                0.96236,                0.97247,                 0.9646,                0.97024,                0.70087,                 1.0993,                 0.5382,                0.97426,              0.0097129,              0.0097129,              0.0097129
                     32,                 1.2416,                0.55902,                0.96833,                0.94462,                0.97345,                0.96745,                 0.6915,                 1.0792,                0.53387,                0.97356,               0.009703,               0.009703,               0.009703
                     33,                 1.1783,                0.53348,                0.94227,                 0.9646,                0.96445,                0.95849,                0.68991,                  1.133,                0.52649,                0.97217,              0.0096931,              0.0096931,              0.0096931
                     34,                 1.1918,                0.53768,                0.94412,                0.97344,                0.97297,                0.96978,                0.66792,                 1.1654,                0.51729,                 1.0032,              0.0096832,              0.0096832,              0.0096832
