                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      0,                  1.682,                 1.4906,                 1.6251,                0.96051,                0.96406,                0.99084,                0.51159,                 1.6722,                0.67613,                  1.487,               0.070139,              0.0033179,              0.0033179
                      1,                  1.263,                0.70551,                 1.3239,                0.97838,                0.96341,                0.98628,                0.59786,                  1.436,                0.59424,                  1.483,               0.040007,              0.0065195,              0.0065195
                      2,                 1.2235,                0.72545,                 1.3234,                0.96221,                0.86585,                0.90983,                0.51943,                 1.5287,                  0.925,                 1.5022,              0.0097435,              0.0095892,              0.0095892
                      3,                 1.2536,                0.74308,                 1.3418,                0.98044,                0.97561,                0.98934,                0.60313,                 1.3138,                 0.5997,                 1.3951,               0.009406,               0.009406,               0.009406
                      4,                  1.209,                0.71038,                 1.3282,                0.98123,                 0.9939,                0.99439,                0.66141,                  1.251,                0.54568,                 1.3241,               0.009406,               0.009406,               0.009406
                      5,                 1.1769,                0.68277,                 1.3173,                0.98676,                0.98171,                0.98855,                0.67228,                 1.0842,                0.51355,                 1.2057,               0.009208,               0.009208,               0.009208
                      6,                 1.1224,                0.64418,                 1.2762,                0.99012,                 0.9939,                0.99488,                0.67515,                 1.1667,                0.52819,                 1.3395,                0.00901,                0.00901,                0.00901
                      7,                 1.0918,                0.61815,                 1.2613,                0.99088,                0.99389,                0.99437,                0.72815,                 1.0756,                0.46009,                 1.2084,               0.008812,               0.008812,               0.008812
                      8,                 1.0722,                0.60485,                 1.2538,                0.99694,                 0.9935,                  0.995,                0.71087,                 1.1066,                0.48738,                 1.2459,               0.008614,               0.008614,               0.008614
                      9,                 1.0328,                0.57793,                 1.2276,                0.99922,                0.99695,                  0.995,                0.76699,                 0.9598,                0.43551,                 1.1179,               0.008416,               0.008416,               0.008416
                     10,                 1.0024,                0.55839,                 1.2031,                0.99759,                      1,                  0.995,                0.76532,                0.96222,                0.39598,                 1.1239,               0.008218,               0.008218,               0.008218
                     11,                0.98511,                0.54345,                 1.1952,                0.99426,                0.99695,                0.99482,                0.74802,                 1.0106,                0.43885,                 1.1851,                0.00802,                0.00802,                0.00802
                     12,                0.97469,                0.52478,                 1.1962,                0.99924,                0.99695,                  0.995,                0.73681,                 1.0174,                0.43443,                 1.2105,               0.007822,               0.007822,               0.007822
                     13,                0.94286,                0.50594,                 1.1807,                0.99955,                      1,                  0.995,                 0.7778,                0.92162,                0.39275,                 1.0947,               0.007624,               0.007624,               0.007624
                     14,                0.93419,                0.50623,                 1.1693,                      1,                0.99676,                  0.995,                0.76097,                0.96032,                0.41258,                 1.1287,               0.007426,               0.007426,               0.007426
