                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      0,                  1.682,                 1.4906,                 1.6251,                0.96051,                0.96406,                0.99084,                0.51159,                 1.6722,                0.67613,                  1.487,               0.070139,              0.0033179,              0.0033179
                      1,                 1.2449,                0.71271,                 1.3489,                0.99297,                0.99695,                0.99497,                0.67905,                 1.2294,                0.55933,                 1.3182,               0.040073,              0.0065854,              0.0065854
                      2,                 1.2172,                0.71369,                 1.3444,                0.97156,                0.93723,                0.98706,                0.56113,                 1.5398,                0.71709,                 1.4776,              0.0099412,              0.0097869,              0.0097869
                      3,                 1.2557,                0.75854,                 1.3378,                0.95513,                0.90848,                0.95721,                0.59566,                 1.3979,                0.84922,                 1.3885,               0.009703,               0.009703,               0.009703
                      4,                 1.2378,                0.72099,                 1.3585,                0.99068,                0.97208,                0.99427,                0.65914,                 1.2097,                0.59069,                 1.3343,               0.009703,               0.009703,               0.009703
                      5,                 1.1827,                0.68545,                 1.3386,                0.99388,                0.99079,                0.99488,                0.62636,                 1.2414,                0.54019,                  1.338,               0.009604,               0.009604,               0.009604
                      6,                 1.1438,                0.65645,                 1.3097,                0.97798,                0.99695,                0.99239,                0.73637,                 1.0658,                0.50699,                 1.2423,               0.009505,               0.009505,               0.009505
                      7,                 1.0985,                0.62869,                 1.2816,                0.98659,                      1,                0.99358,                0.72432,                 1.0541,                0.47905,                 1.2631,               0.009406,               0.009406,               0.009406
                      8,                 1.0838,                0.60855,                 1.2909,                0.99889,                0.99695,                  0.995,                0.70742,                 1.0711,                0.48206,                 1.2554,               0.009307,               0.009307,               0.009307
                      9,                 1.0585,                0.59459,                 1.2716,                0.99359,                0.99085,                0.99263,                0.76734,                0.97722,                0.44256,                 1.2037,               0.009208,               0.009208,               0.009208
                     10,                 1.0289,                0.57717,                  1.253,                0.99918,                      1,                  0.995,                0.76055,                0.98108,                0.42736,                 1.2333,               0.009109,               0.009109,               0.009109
                     11,                 1.0103,                0.54757,                 1.2406,                0.99656,                      1,                0.99497,                0.75707,                0.98528,                0.41398,                 1.1824,                0.00901,                0.00901,                0.00901
                     12,                0.98154,                0.53418,                 1.2189,                0.99349,                 0.9939,                0.99491,                0.73804,                0.99517,                0.45302,                 1.1692,               0.008911,               0.008911,               0.008911
                     13,                0.96335,                0.52758,                 1.1999,                0.99696,                0.99956,                  0.995,                0.76996,                 0.9233,                0.41579,                 1.1414,               0.008812,               0.008812,               0.008812
                     14,                0.96057,                0.52882,                 1.2123,                0.99988,                      1,                  0.995,                0.77621,                0.92637,                0.40334,                  1.138,               0.008713,               0.008713,               0.008713
                     15,                0.94383,                0.50387,                 1.1904,                 0.9997,                0.99695,                  0.995,                0.78185,                0.92636,                0.40596,                 1.1559,               0.008614,               0.008614,               0.008614
                     16,                0.93313,                0.51068,                 1.1868,                0.99695,                0.99595,                0.99497,                 0.7473,                0.98849,                0.40688,                 1.1778,               0.008515,               0.008515,               0.008515
                     17,                0.91598,                0.49465,                 1.1691,                0.99656,                 0.9939,                0.99448,                0.78398,                0.92648,                0.39945,                 1.1424,               0.008416,               0.008416,               0.008416
                     18,                0.90666,                0.48462,                 1.1675,                      1,                0.99982,                  0.995,                0.80473,                0.89925,                0.37869,                 1.1219,               0.008317,               0.008317,               0.008317
                     19,                0.89654,                 0.4793,                 1.1622,                0.99972,                      1,                  0.995,                0.79846,                0.87338,                0.36096,                 1.0989,               0.008218,               0.008218,               0.008218
                     20,                0.88776,                0.46998,                 1.1592,                0.99958,                      1,                  0.995,                0.80975,                0.87137,                0.35873,                 1.1284,               0.008119,               0.008119,               0.008119
                     21,                0.88146,                0.45817,                 1.1534,                 0.9998,                      1,                  0.995,                0.80979,                0.86741,                0.36328,                 1.1175,                0.00802,                0.00802,                0.00802
                     22,                0.86515,                0.45734,                 1.1464,                0.99981,                      1,                  0.995,                0.80622,                0.84087,                0.34991,                 1.0968,               0.007921,               0.007921,               0.007921
                     23,                0.85056,                0.45301,                  1.123,                      1,                0.99963,                  0.995,                0.79663,                0.88267,                0.35522,                 1.0817,               0.007822,               0.007822,               0.007822
                     24,                 0.8442,                0.44355,                 1.1343,                      1,                0.99976,                  0.995,                0.80122,                0.89938,                0.36688,                 1.1335,               0.007723,               0.007723,               0.007723
                     25,                0.83592,                0.44328,                 1.1333,                      1,                0.99978,                  0.995,                0.78902,                0.89534,                0.37401,                 1.1435,               0.007624,               0.007624,               0.007624
                     26,                0.82061,                0.42842,                 1.1192,                0.99987,                      1,                  0.995,                0.81436,                0.85421,                0.35052,                 1.1058,               0.007525,               0.007525,               0.007525
                     27,                0.81515,                0.42843,                 1.1184,                0.99975,                      1,                  0.995,                0.80868,                0.87919,                0.34867,                  1.127,               0.007426,               0.007426,               0.007426
